,Category,Attribute,Datatype,Count,Relative Frequency
0,Computers And Accessories,Manufacturer,Abbreviated And Full Name,26,0.04
1,Computers And Accessories,Manufacturer,Abbreviated Name,459,0.72
2,Computers And Accessories,Manufacturer,Name,134,0.21
3,Computers And Accessories,Manufacturer,n/a,15,0.02
4,Computers And Accessories,Generation,Abbreviated Name with Numeric,231,0.49
5,Computers And Accessories,Generation,Name with Numeric,2,0.0
6,Computers And Accessories,Generation,n/a,243,0.51
7,Computers And Accessories,Part Number,Unique Alphanumeric ID,73,0.16
8,Computers And Accessories,Part Number,Unique Alphanumeric ID with marks,217,0.47
9,Computers And Accessories,Part Number,Unique Numeric ID,16,0.03
10,Computers And Accessories,Part Number,Unique Numeric ID with marks,148,0.32
11,Computers And Accessories,Part Number,n/a,4,0.01
12,Computers And Accessories,Capacity,Numeric with Unit,452,0.71
13,Computers And Accessories,Capacity,n/a,189,0.29
14,Computers And Accessories,Product Type,Free Text,582,0.96
15,Computers And Accessories,Product Type,n/a,24,0.04
16,Computers And Accessories,Interface,Abbreviated And Full Name,97,0.16
17,Computers And Accessories,Interface,Abbreviated Name,258,0.42
18,Computers And Accessories,Interface,Abbreviated Name with Numeric,63,0.1
19,Computers And Accessories,Interface,Name,18,0.03
20,Computers And Accessories,Interface,n/a,175,0.29
21,Computers And Accessories,Cache,Numeric,2,0.0
22,Computers And Accessories,Cache,Numeric with Unit,72,0.16
23,Computers And Accessories,Cache,n/a,363,0.83
24,Computers And Accessories,Ports,Free Text with Number as Word,144,0.29
25,Computers And Accessories,Ports,Free Text with Numeric,13,0.03
26,Computers And Accessories,Ports,n/a,345,0.69
27,Computers And Accessories,Processor Core,Free Text with Number as Word,11,0.03
28,Computers And Accessories,Processor Core,Free Text with Numeric,30,0.07
29,Computers And Accessories,Processor Core,n/a,396,0.91
30,Computers And Accessories,Processor Type,Name,29,0.06
31,Computers And Accessories,Processor Type,Name With Numeric,79,0.17
32,Computers And Accessories,Processor Type,n/a,362,0.77
33,Computers And Accessories,Processor Quantity,Numeric,33,0.08
34,Computers And Accessories,Processor Quantity,n/a,403,0.92
35,Computers And Accessories,Bus Speed,Numeric with Unit,8,0.02
36,Computers And Accessories,Bus Speed,n/a,428,0.98
37,Computers And Accessories,Thermal Design Power,Numeric with Unit,34,0.08
38,Computers And Accessories,Thermal Design Power,n/a,402,0.92
39,Computers And Accessories,Clock Speed,Numeric,2,0.0
40,Computers And Accessories,Clock Speed,Numeric with Unit,105,0.23
41,Computers And Accessories,Clock Speed,n/a,351,0.77
42,Computers And Accessories,Rotational Speed,Numeric (abbrevaited),178,0.39
43,Computers And Accessories,Rotational Speed,Numeric with Unit,20,0.04
44,Computers And Accessories,Rotational Speed,n/a,256,0.56
45,Home And Garden,Manufacturer,Abbreviated And Full Name,2,0.01
46,Home And Garden,Manufacturer,Abbreviated Name,10,0.03
47,Home And Garden,Manufacturer,Name,359,0.97
48,Home And Garden,Product Type,Free Text,610,1.0
49,Home And Garden,Width,Numeric,24,0.06
50,Home And Garden,Width,Numeric with Decimal,1,0.0
51,Home And Garden,Width,Numeric with Decimal with Unit,8,0.02
52,Home And Garden,Width,Numeric with Fraction,7,0.02
53,Home And Garden,Width,Numeric with Fraction with Unit,40,0.1
54,Home And Garden,Width,Numeric with Unit,179,0.47
55,Home And Garden,Width,n/a,122,0.32
56,Home And Garden,Length,Numeric,7,0.02
57,Home And Garden,Length,Numeric with Decimal with Unit,5,0.01
